,label,x,y,major,minor,area,bbox,intensities,r,nor_intensity,nor_area,nor_r,nor_r2,cells
0,25,692.3846154,704.6153846,4.318667338,3.679464844,13,"(691, 703, 695, 707)",11392.046,3.999066091,0.23628566,0.317073171,0.551982932,0.304685157,4
0,27,703,771.7142857,3.023715784,2.799416849,7,"(702, 771, 705, 774)",6462.9956,2.911566316,0.13405083,0.170731707,0.401877557,0.161505571,4
0,29,730.5384615,736.6538462,5.791240069,5.75639598,26,"(728, 734, 734, 740)",23451.773,5.773818024,0.4864199,0.634146341,0.79694832,0.635126624,4
0,30,737.5,698,5.656854249,4.472135955,20,"(736, 696, 740, 701)",18132.18,5.064495102,0.3760847,0.487804878,0.699041924,0.488659612,4
0,34,765.48,728.12,6.033671113,5.306412432,25,"(763, 726, 769, 732)",24115.715,5.670041773,0.5001909,0.609756098,0.782624295,0.612500788,4
0,36,780,639.2,3.919183588,3.098386677,10,"(779, 638, 782, 642)",9525.106,3.508785133,0.19756293,0.243902439,0.484310452,0.234556614,4
0,38,821.5,674.2222222,5.258737585,4.268749492,18,"(820, 672, 824, 677)",17598.09,4.763743538,0.36500698,0.43902439,0.657529799,0.432345437,4
0,39,823.3333333,508.75,4.167620294,3.631321611,12,"(822, 507, 826, 511)",10195.061,3.899470952,0.21145864,0.292682927,0.538236018,0.289698011,4
0,40,836.9666667,683.1,6.916577735,5.560261504,30,"(834, 681, 841, 687)",33784.97,6.238419619,0.7007436,0.731707317,0.86107633,0.741452446,4
0,41,847.037037,805.4444444,6.068902553,5.733661045,27,"(844, 803, 851, 809)",31394.24,5.901281799,0.65115684,0.658536585,0.814541884,0.663478481,4
0,42,873,598,3.265986324,3.265986324,9,"(872, 597, 875, 600)",7397.652,3.265986324,0.1534368,0.219512195,0.450797428,0.203218321,4
0,43,879,562.2,3.919183588,3.098386677,10,"(878, 561, 881, 565)",8866.099,3.508785133,0.18389426,0.243902439,0.484310452,0.234556614,4
0,44,879.5,916.2857143,4.208834246,4.120630029,14,"(878, 915, 882, 919)",14659.537,4.164732138,0.30405763,0.341463415,0.574849478,0.330451923,4
0,45,897.5454545,662.6363636,4,3.468869823,11,"(896, 661, 900, 665)",9594.977,3.734434912,0.19901213,0.268292683,0.51545643,0.265695331,4
0,46,903.6315789,508.2105263,5.127073206,4.7117571,19,"(902, 506, 907, 511)",17163.928,4.919415153,0.35600188,0.463414634,0.679016835,0.461063862,4
0,47,904.5,651.2857143,4.208834246,4.120630029,14,"(903, 650, 907, 654)",12701.859,4.164732138,0.26345286,0.341463415,0.574849478,0.330451923,4
0,48,920.8095238,844.1428571,5.316632772,4.992156306,21,"(919, 842, 924, 847)",22882.84,5.154394539,0.47461948,0.512195122,0.71145056,0.506161899,4
0,50,934.125,570.6666667,6.081140987,4.93206649,24,"(932, 568, 937, 574)",24846.623,5.506603738,0.5153509,0.585365854,0.760065277,0.577699225,4
0,51,938.6666667,556.25,6.977122493,6.573328731,36,"(936, 553, 943, 560)",33593.617,6.775225612,0.6967747,0.87804878,0.935170565,0.874543986,4
0,52,948.6097561,537.0487805,7.602111886,6.887706042,41,"(946, 534, 953, 541)",48213.023,7.244908964,1,1,1,1,4
0,53,948.6428571,578.7142857,4.740246897,3.766048403,14,"(947, 577, 951, 581)",14990.309,4.25314765,0.31091824,0.341463415,0.587053291,0.344631566,4
