,index,label,x,y,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,cells,nor_intensity,nor_length
448,0,1580,685.2786885245902,786.8360655737705,10.462580225896042,4,4.5,0.7105263157894737,24904.32421875,7738.105307165533,63.61725123519331,28.274333882308134,360.0,1130.9733552923256,17166.218911584467,3,0.4095790170169891,0.7377049180327868
453,0,1598,692.5972222222222,600.1944444444445,12.358100565402427,4,4.5,0.7195121951219512,21977.685546875,6976.593306586146,63.61725123519331,28.274333882308134,360.0,1130.9733552923256,15001.092240288854,3,0.3579199732686841,0.7377049180327868
454,0,1599,689.5483870967741,614.1612903225806,6.51356347071324,4,3.0,0.7647058823529411,9013.751953125,3460.156285647303,28.274333882308134,18.84955592153876,240.0,753.9822368615504,5553.595667477697,3,0.13250653892455647,0.4918032786885245
455,0,1605,693.3409090909091,809.7045454545455,8.08666410557678,4,3.7,0.78,16708.69140625,3718.72312925756,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,12989.96827699244,3,0.3099353716374897,0.6065573770491803
463,0,1623,701.271186440678,257.5762711864407,10.065282463284186,4,4.300000000000001,0.7142857142857143,18469.251953125,7492.543024562299,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,10976.7089285627,3,0.26189982058357353,0.7049180327868853
472,0,1642,709.1428571428571,298.4,7.679946482924151,4,3.2,0.8461538461538461,12638.36328125,3824.677432589233,32.169908772759484,20.10619298297468,256.0,804.247719318987,8813.685848660767,3,0.2102909676722645,0.5245901639344263
473,0,1647,712.5945945945946,253.45945945945945,8.648433605417956,4,3.2,0.7209302325581395,10487.03125,5796.882655491121,32.169908772759484,20.10619298297468,256.0,804.247719318987,4690.148594508879,3,0.11190504215848018,0.5245901639344263
474,0,1648,712.4255319148937,581.1702127659574,8.179222695938977,4,3.7,0.8775510204081632,15540.8759765625,5417.745103407651,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,10123.130873154849,3,0.24153379457156154,0.6065573770491803
476,0,1651,713.1785714285714,205.57142857142856,7.0557219013106565,4,3.0,0.7272727272727273,9277.5078125,3478.747322909534,28.274333882308134,18.84955592153876,240.0,753.9822368615504,5798.760489590466,3,0.13835607208997178,0.4918032786885245
441,0,1542,669.7857142857143,732.3333333333334,7.884089952279222,4,3.2,0.7555555555555555,14984.734375,2894.1868708617985,32.169908772759484,20.10619298297468,256.0,804.247719318987,12090.5475041382,3,0.28847555699061367,0.5245901639344263
479,0,1664,715.8484848484849,415.27272727272725,6.860031574732313,4,3.2,0.7073170731707317,13442.8544921875,4112.760124639608,32.169908772759484,20.10619298297468,256.0,804.247719318987,9330.094367547892,3,0.22261226536946746,0.5245901639344263
483,0,1679,720.5806451612904,589.0645161290323,6.637233432831252,4,3.2,0.7894736842105263,11768.8427734375,4132.253399899229,32.169908772759484,20.10619298297468,256.0,804.247719318987,7636.589373538271,3,0.1822059234526848,0.5245901639344263
486,0,1690,725.7833333333333,735.1666666666666,10.777977051569277,4,4.300000000000001,0.7285714285714285,21061.84765625,5525.534770809114,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,15536.312885440886,3,0.37069012066442963,0.7049180327868853
487,0,1695,727.2708333333334,372.8958333333333,8.609745015205034,4,3.7,0.7222222222222222,19710.166015625,4033.120818519965,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,15677.045197105035,3,0.3740479365102378,0.6065573770491803
492,0,1705,731.7027027027027,692.4594594594595,7.844911080863871,4,3.2,0.7209302325581395,12189.65234375,3810.069772221148,32.169908772759484,20.10619298297468,256.0,804.247719318987,8379.582571528852,3,0.19993343964309804,0.5245901639344263
493,0,1710,736.452380952381,639.2857142857143,8.41112223626743,4,3.7,0.7755102040816326,16544.291015625,4002.4132668972015,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,12541.877748727798,3,0.2992441134724547,0.6065573770491803
497,0,1725,743.4358974358975,233.15384615384616,8.086483873600987,4,3.2,0.8095238095238095,14080.037109375,4640.2558534778655,32.169908772759484,20.10619298297468,256.0,804.247719318987,9439.781255897136,3,0.2252293500135074,0.5245901639344263
501,0,1732,750.24,649.1,8.587246027906108,4,4.2,0.8448275862068966,20419.625,5086.037586674094,55.41769440932395,26.389378290154266,336.0,1055.5751316061703,15333.587413325906,3,0.36585317316767335,0.6885245901639344
515,0,1778,778.3428571428572,692.3142857142857,7.774356479305954,4,3.2,0.8,13345.806640625,3478.405371537432,32.169908772759484,20.10619298297468,256.0,804.247719318987,9867.401269087568,3,0.23543218999599966,0.5245901639344263
517,0,1781,780.1,762.4333333333333,6.688991781260616,4,3.2,0.8108108108108109,11161.11328125,4244.395335519686,32.169908772759484,20.10619298297468,256.0,804.247719318987,6916.717945730314,3,0.16503008331579672,0.5245901639344263
522,0,1799,795.2,591.5666666666667,6.899688585839356,4,2.9000000000000004,0.7741935483870968,8125.955078125,2474.3693366646767,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,5651.585741460323,3,0.13484454232448642,0.4754098360655738
529,0,1828,817.3793103448276,758.551724137931,7.180495790403051,4,3.0,0.7058823529411765,9015.08984375,3734.259083069861,28.274333882308134,18.84955592153876,240.0,753.9822368615504,5280.830760680139,3,0.12599847893893656,0.4918032786885245
481,0,1669,718.4871794871794,822.8333333333334,11.8989997439782,4,4.5,0.7294117647058823,23957.21875,4948.252539943904,63.61725123519331,28.274333882308134,360.0,1130.9733552923256,19008.966210056096,3,0.4535462197543016,0.7377049180327868
440,0,1539,668.6041666666666,592.8125,8.460356805390603,4,4.0,0.7321428571428571,16331.828125,4562.678991507739,50.26548245743669,25.132741228718345,320.0,1005.309649148734,11769.14913349226,3,0.2808071222934893,0.6557377049180327
439,0,1535,665.483870967742,743.0967741935484,6.772587470229027,4,3.0,0.8181818181818182,12076.28125,2666.323145329021,28.274333882308134,18.84955592153876,240.0,753.9822368615504,9409.95810467098,3,0.22451778172776718,0.4918032786885245
437,0,1528,666.1129032258065,311.7096774193548,9.78259293716084,4,4.300000000000001,0.782608695652174,19644.6484375,6795.854106739163,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,12848.794330760837,3,0.3065670185701215,0.7049180327868853
373,0,1304,589.0983606557377,398.9672131147541,10.536589780853449,4,4.5,0.7105263157894737,23082.93359375,6448.569253530353,63.61725123519331,28.274333882308134,360.0,1130.9733552923256,16634.364340219647,3,0.39688918277582197,0.7377049180327868
375,0,1310,589.25,162.0,7.528643131589766,4,3.2,0.8717948717948718,15535.212890625,3954.459376906976,32.169908772759484,20.10619298297468,256.0,804.247719318987,11580.753513718024,3,0.27631207925839407,0.5245901639344263
377,0,1312,590.3333333333334,691.4444444444445,6.257420261506924,4,3.0,0.75,8984.48046875,2860.172717064619,28.274333882308134,18.84955592153876,240.0,753.9822368615504,6124.307751685381,3,0.1461234976534094,0.4918032786885245
378,0,1317,593.0,368.2558139534884,7.802050772391088,4,3.7,0.9130434782608696,17466.3671875,5753.340021036565,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,11713.027166463437,3,0.27946807493500475,0.6065573770491803
381,0,1330,597.5,338.0,9.299153883176762,4,3.7,0.7450980392156863,15912.580078125,5744.7755088843405,43.00840342764428,23.24778563656447,296.00000000000006,929.9114254625788,10167.80456924066,3,0.2425996908311621,0.6065573770491803
383,0,1338,598.1923076923077,504.0,6.770778798788642,4,3.0,0.8333333333333334,10211.2216796875,4041.27236431092,28.274333882308134,18.84955592153876,240.0,753.9822368615504,6169.94931537658,3,0.14721248684130472,0.4918032786885245
386,0,1348,601.0666666666667,753.7666666666667,7.0893039783458685,4,3.2,0.717948717948718,11224.220703125,3987.704461507499,32.169908772759484,20.10619298297468,256.0,804.247719318987,7236.516241617501,3,0.17266034087850263,0.5245901639344263
387,0,1354,603.5365853658536,384.609756097561,7.996335360274112,4,4.2,0.7192982456140351,17296.017578125,6469.902948516654,55.41769440932395,26.389378290154266,336.0,1055.5751316061703,10826.114629608346,3,0.2583067017231084,0.6885245901639344
