,intensity,area,perimeter,label,frame,cells,background,final_intensity
3,396896.09375,1921.0,651.7067356011835,0.0,2.0,3,64585.086719511775,332311.0070304882
4,49237.24609375,246.0,126.27768796166572,1.0,2.0,3,8270.65660229042,40966.58949145958
5,104902.9296875,522.0,217.7909389009976,0.0,3.0,3,17549.929863396745,87352.99982410326
6,196868.28125,976.0,406.1641266195133,1.0,3.0,3,32813.661966810774,164054.61928318924
7,157954.859375,752.0,288.90695755527736,0.0,4.0,3,25282.65758098535,132672.20179401466
8,136999.296875,657.0,279.1963252694645,1.0,4.0,3,22088.704828068316,114910.59204693168
0,401952.1875,1817.0,544.9455969861579,0.0,0.0,4,63148.626522763385,338803.5609772366
1,445607.78125,1944.0,658.6963825795631,0.0,1.0,4,67562.42705572482,378045.35419427516
2,284662.03125,1371.0,544.255483597775,0.0,2.0,4,47648.193155040506,237013.8380949595
3,61035.21875,295.0,136.54368061474838,1.0,2.0,4,10252.528797036433,50782.68995296357
4,59587.484375,288.0,138.53508428769993,0.0,3.0,4,10009.248452699974,49578.235922300024
5,55124.1015625,260.0,119.3043892661032,1.0,3.0,4,9036.127075354145,46087.97448714585
6,46510.4921875,211.0,120.35929347172696,2.0,3.0,4,7333.16466499894,39177.32752250106
7,55824.6796875,270.0,125.91289714442492,0.0,4.0,4,9383.670424406226,46441.00926309377
8,71856.0625,358.0,174.10126775624838,1.0,4.0,4,12442.051896064551,59414.01060393545
0,158233.5625,780.0,257.26776490371617,4.0,0.0,5,26225.17787027352,132008.38462972647
1,66448.96875,350.0,152.68859951167113,6.0,0.0,5,11767.708018712477,54681.26073128752
2,52006.375,280.0,151.61734702323022,8.0,0.0,5,9414.166414969983,42592.20858503002
3,57917.984375,292.0,115.18682889908696,9.0,0.0,5,9817.630689897267,48100.35368510273
4,52125.4375,253.0,130.85532392093728,4.0,1.0,5,8506.371796383592,43619.065703616405
5,107541.734375,570.0,240.9649730223988,6.0,1.0,5,19164.553059046037,88377.18131595396
6,46817.9140625,222.0,112.83063440889464,0.0,2.0,5,7464.089086154771,39353.824976345226
7,77753.6328125,367.0,141.9625312663332,6.0,2.0,5,12339.282408192797,65414.3504043072
8,291112.5,1372.0,438.8582234766982,8.0,2.0,5,46129.415433352915,244983.08456664707
9,138525.1875,634.0,219.87762734896364,6.0,3.0,5,21316.362525324887,117208.82497467511
10,286038.34375,1398.0,483.1590715176332,12.0,3.0,5,47003.588029028695,239034.7557209713
11,158986.5,734.0,258.3948339210729,1.0,4.0,5,24678.564816385595,134307.9351836144
12,123994.0234375,575.0,169.04720792190437,9.0,4.0,5,19332.66317359907,104661.36026390093
13,89434.3984375,475.0,187.26246698397603,11.0,4.0,5,15970.460882538362,73463.93755496164
14,59384.421875,291.0,132.38665200163348,12.0,4.0,5,9784.00866698666,49600.41320801334
0,216318.21875,947.0,282.068411880828,2.0,0.0,6,42421.66999470721,173896.54875529278
1,327718.3125,1445.0,417.94509907047495,13.0,0.0,6,64730.003318217445,262988.30918178253
2,103212.390625,488.0,212.33262000331416,16.0,0.0,6,21860.374823038142,81352.01580196185
3,101691.34375,482.0,202.6778042464171,1.0,1.0,6,21591.599722754887,80099.74402724512
4,702096.25,3305.0,1059.4416585474917,4.0,1.0,6,148050.28440602677,554045.9655939732
5,68563.328125,327.0,148.4757543696404,15.0,1.0,6,14648.242965437443,53915.08515956256
6,158672.28125,734.0,271.0170210643479,1.0,2.0,6,32880.15393465163,125792.12731534836
7,55540.3359375,271.0,117.31298559315168,4.0,2.0,6,12139.675362793721,43400.66057470628
8,214383.375,1012.0,348.16306726639806,6.0,2.0,6,45333.40024777582,169049.97475222417
9,70791.9609375,349.0,157.4404567381545,15.0,2.0,6,15633.751666476048,55158.20927102395
10,117473.890625,583.0,238.40186069936027,19.0,2.0,6,26115.980577523027,91357.91004747697
11,49191.984375,233.0,80.2712905728228,20.0,2.0,6,10437.433060999769,38754.55131400023
12,99413.3203125,470.0,167.53222812402527,21.0,2.0,6,21054.049522188376,78359.27079031162
13,117627.03125,533.0,193.73622184118452,18.0,2.0,6,23876.18807516256,93750.84317483744
14,65062.3515625,298.0,110.83923073594308,10.0,2.0,6,13349.163314068373,51713.18824843163
15,121291.96875,580.0,219.82181082004783,0.0,3.0,6,25981.593027381397,95310.3757226186
16,116104.96875,563.0,216.0459213069909,3.0,3.0,6,25220.06357657884,90884.90517342117
17,128827.6640625,587.0,183.67714702094807,6.0,3.0,6,26295.16397771186,102532.50008478813
18,663532.6875,3161.0,959.7885716491415,14.0,3.0,6,141599.6819992286,521933.0055007714
19,237632.4375,1058.0,327.4636323734853,21.0,3.0,6,47394.009349947446,190238.42815005255
20,55500.25,238.0,109.21261788023236,20.0,3.0,6,10661.412311235816,44838.837688764186
21,87872.828125,414.0,163.35885122809327,17.0,3.0,6,18545.481919544654,69327.34620545534
22,119334.75,571.0,217.94204020492796,7.0,3.0,6,25578.430376956512,93756.31962304348
23,54050.03125,259.0,125.12749898102749,1.0,4.0,6,11602.12516222721,42447.90608777279
24,995442.9375,4626.0,1418.0844079802828,3.0,4.0,6,207225.60231839024,788217.3351816097
25,503783.71875,2366.0,791.8520844617769,22.0,4.0,6,105986.98121169722,397796.7375383028
26,114090.5234375,545.0,227.097312123471,7.0,4.0,6,24413.738275729072,89676.78516177092
0,88769.5625,377.0,115.3610501662988,0.0,0.0,7,14814.640233742077,73954.92226625793
1,160939.03125,728.0,243.76489482202925,0.0,1.0,7,28607.581141019185,132331.45010898082
2,73315.625,342.0,135.06816906296797,0.0,2.0,7,13439.275755808463,59876.34924419154
3,96599.328125,444.0,156.23445122860042,1.0,2.0,7,17447.480805786425,79151.84731921357
4,110344.484375,514.0,182.55007800359132,0.0,3.0,7,20198.209761653656,90146.27461334635
5,70923.203125,324.0,117.67777641039248,1.0,3.0,7,12731.945452871176,58191.25767212882
6,115638.7578125,525.0,175.88575359635377,0.0,4.0,7,20630.46716900422,95008.29064349578
