,cell,label,x,y,area,Hem1_intensity,background,final_intensity,WAVE2_area,WAVE2_intensity,WAVE2_background,WAVE2_final_intensity
0,250307_hem1-eGFP_molecule_2_29_MMStack_Default.ome.tif,2,154.8319731,218.5261285,88218,2746.70268,1370.653215,1376.049465,88218,5667.326543,1903.593599,3763.732944
0,250307_hem1-eGFP_molecule_2_29_MMStack_Default.ome-2.tif,1,133.8810983,276.4424194,25130,3559.213729,1093.622355,2465.591374,25130,6713.638957,1459.882459,5253.756499
0,250307_hem1-eGFP_molecule_2_29_MMStack_Default.ome-3.tif,1,230.0238542,165.5444215,42592,2868.739364,1016.352677,1852.386687,42592,5608.967975,1383.775558,4225.192417
0,250307_hem1-eGFP_molecule_2_29_MMStack_Default.ome-4.tif,1,141.5547642,209.1579311,28924,5383.414673,756.0309121,4627.383761,28924,7880.966568,1054.37022,6826.596348
0,250307_hem1-eGFP_molecule_2_30_MMStack_Default.ome.tif,1,120.1223324,129.1475492,23992,2111.821024,1319.205075,792.6159485,23992,3816.287679,1766.222531,2050.065148
0,250307_hem1-eGFP_molecule_2_30_MMStack_Default.ome-2.tif,1,197.9437555,182.3455629,35079,2420.301177,1257.668038,1162.633139,35079,3579.184669,1543.979692,2035.204977
0,250307_hem1-eGFP_molecule_2_30_MMStack_Default.ome-3.tif,1,169.4216172,175.1786187,55095,3183.250912,1544.036938,1639.213974,55095,5128.750304,2169.234378,2959.515926
0,250307_hem1-eGFP_1-1_5_MMStack_Default.ome.tif,1,521.1332629,520.7074894,17972,2472.200979,1142.554099,1329.64688,17972,3980.811429,969.0662388,3011.74519
0,250307_hem1-eGFP_1-1_6_MMStack_Default.ome.tif,1,244.8162436,242.098017,98636,5920.673922,1476.1031,4444.570822,98636,9963.642798,1543.067254,8420.575543
0,250307_hem1-eGFP_1-1_7_MMStack_Default.ome.tif,1,276.4072944,759.6990709,14422,4277.425461,1120.091239,3157.334222,14422,5092.221675,1028.525309,4063.696367
0,250307_hem1-eGFP_1-1_7_MMStack_Default.ome.tif,2,558.3341597,438.3872505,31060,4057.806343,1120.091239,2937.715104,31060,4169.080296,1028.525309,3140.554988
0,250307_hem1-eGFP_1-1_9_MMStack_Default.ome-2.tif,1,171.7596228,124.6080559,24603,6062.170264,1286.409501,4775.760763,24603,6096.645084,1079.158422,5017.486662
0,250307_hem1-eGFP_1-1_12_MMStack_Default.ome.tif,2,210.5937305,445.9594105,8007,2500.465842,1147.648857,1352.816986,8007,2478.85113,1005.614682,1473.236448
0,250307_hem1-eGFP_1-1_12_MMStack_Default.ome.tif,4,788.9619627,556.8520445,23845,2920.059342,1147.648857,1772.410485,23845,2388.707654,1005.614682,1383.092972
0,250307_hem1-eGFP_1-1_13_MMStack_Default.ome.tif,1,221.9760595,137.9682976,30534,3961.630445,1401.027006,2560.603439,30534,4266.619899,1295.344714,2971.275185
0,250307_hem1-eGFP_1-1_16_MMStack_Default.ome.tif,2,506.4798802,474.78818,14687,3358.312657,1157.696635,2200.616023,14687,3430.23211,983.2718067,2446.960303
0,250307_hem1-eGFP_1-1_17_MMStack_Default.ome.tif,1,236.2519109,355.4267198,9027,2845.042539,1193.763448,1651.279091,9027,2855.180902,993.1548834,1862.026018
0,250307_hem1-eGFP_1-1_17_MMStack_Default.ome.tif,4,340.1865324,769.997886,16083,3496.620158,1193.763448,2302.85671,16083,3421.696077,993.1548834,2428.541193
0,250307_hem1-eGFP_1-1_17_MMStack_Default.ome.tif,5,493.9357926,530.98504,10762,2581.923434,1193.763448,1388.159986,10762,3413.134826,993.1548834,2419.979943
0,250307_hem1-eGFP_1-1_19_MMStack_Default.ome.tif,1,113.838191,128.6591191,16915,3381.310139,1526.633887,1854.676251,16915,3506.461425,1388.532211,2117.929214
0,250307_hem1-eGFP_1-1_21_MMStack_Default.ome.tif,3,473.8775797,609.8972405,25584,3623.778924,1203.919602,2419.859322,25584,3368.346896,997.2518827,2371.095014
0,250307_hem1-eGFP_1-1_22_MMStack_Default.ome.tif,1,457.7444318,520.8205049,28959,2835.055251,1172.684933,1662.370318,28959,3620.135467,971.9842745,2648.151193
0,250307_hem1-eGFP_1-1_23_MMStack_Default.ome.tif,1,116.5415003,174.6146696,16783,2796.090806,1373.80916,1422.281646,16783,3164.413752,1358.741441,1805.672311
0,250307_hem1-eGFP_1-1_24_MMStack_Default.ome.tif,1,473.0279111,553.7658667,22500,3246.320044,1165.588905,2080.73114,22500,3476.881289,957.2903986,2519.59089
0,250307_hem1-eGFP_1-1_26_MMStack_Default.ome.tif,1,399.7033268,522.5718462,27023,4117.254376,1186.834627,2930.419749,27023,4102.774451,977.0609171,3125.713534
0,250307_hem1-eGFP_1-1_31_MMStack_Default.ome.tif,1,420.3900756,675.2791009,73314,4646.355035,1252.661075,3393.69396,73314,5882.268189,1014.122969,4868.14522
0,250307_hem1-eGFP_1-1_33_MMStack_Default.ome.tif,1,88.42105512,258.4768781,21192,2857.492592,1423.742617,1433.749975,21192,4380.14496,1479.957129,2900.187832
0,250307_hem1-eGFP_1-1_33_MMStack_Default.ome-2.tif,1,81.32052598,145.5420141,15590,4507.752021,1727.243296,2780.508724,15590,4867.484926,1615.466289,3252.018638
