,intensity,area,perimeter,label,frame,nor_intensity,nor_length,cells,length(um)
1,16955320,1485,424.97421429495324,1,0,0.3860225896019384,0.4975703879405274,8,8.499484286
2,3412465,318,100.47795330784595,3,0,0.077691756,0.11764208868483533,8,2.009559066
3,10454979,908,327.97952449465646,9,0,0.23802901200413112,0.384006591,8,6.55959049
4,29595861,2300,583.4464553,2,1,0.6738103972510702,0.6831136321425013,8,11.66892911
5,6409780,492,122.02537457353635,5,1,0.14593177093553603,0.14287034582997682,8,2.440507491
6,9926602,799,227.59685596182496,10,1,0.22599942731766673,0.2664760639721345,8,4.551937119
7,9956088,810,263.47201371869835,0,2,0.2266707365042231,0.30847959162646427,8,5.269440274
8,26543000,1851,411.93141980552167,2,2,0.6043057633712753,0.48229955950990905,8,8.238628396
9,14725122,1114,310.7797013921099,12,2,0.3352475639884399,0.36386861,8,6.215594028
10,32047870,2689,696.9672030727277,1,3,0.7296354046179179,0.816026549,8,13.93934406
11,11484755,993,297.04679351429536,8,3,0.26147397194767247,0.3477897795060477,8,5.94093587
12,2575669,250,136.0836050224931,10,3,0.058640380561230054,0.15933007195677162,8,2.7216721
13,43923129,3566,854.0986855225572,2,4,1,1,8,17.08197371
14,4500026,398,152.13323914440133,0,4,0.10245230935164022,0.17812138307100042,8,3.042664783
