LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Probability stuck,Probability diffusive
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,P stuck,P diffusive
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID64609,64609,246,14.180990219116211,5.229903763232763,17.087525056633655,0.0,14.535123459994793,299,0.75,1,,551.4054054054054,539.0,483.0,682.0,20402.0,50.708567903845,10568.594594594595,11101.0,6536.0,14258.0,391038.0,2123.866004083898,0.02099238661483928,0.44715591687843387,0.007707629447021946,0.07612133597912817,,
ID64546,64546,246,19.390697479248047,5.305697973969143,17.288475604703326,0.0,14.000386476516724,288,0.75,1,,550.5675675675676,543.0,470.0,668.0,20371.0,43.626916093253804,10279.72972972973,10371.0,6536.0,14258.0,380350.0,2172.0450507995233,0.025623349494470354,0.6305711639363228,0.004376455816649096,0.041244770189054494,,
ID64226,64226,246,23.468257904052734,5.114603177793891,17.30268712615679,0.0,12.833687603473663,264,0.75,1,,554.3243243243244,539.0,483.0,735.0,20510.0,58.65532752825994,10279.72972972973,10371.0,6536.0,14258.0,380350.0,2172.0450507995233,0.03251339688843187,0.5951865628751778,0.004376455816649096,0.041244770189054494,,
ID64484,64484,246,17.601764678955078,5.457517739565559,17.23563546249015,0.0,13.903161570429802,286,0.75,1,,549.5405405405405,553.0,475.0,630.0,20333.0,39.15183733065878,11260.891891891892,11575.0,7488.0,14271.0,416653.0,1919.7035619505855,0.02687206710841985,0.7346192758154877,0.026149276439793732,0.2989632094356194,,
ID64356,64356,246,16.486324310302734,5.2067456416721045,17.27430405914704,0.0,12.882300056517124,265,0.75,1,,550.5135135135135,535.0,474.0,666.0,20369.0,46.5042540596626,10279.72972972973,10371.0,6536.0,14258.0,380350.0,2172.0450507995233,0.021530306771187037,0.49900426692253547,0.004376455816649096,0.041244770189054494,,
ID64424,64424,246,12.453847885131836,5.010358032978641,17.26777043787049,0.0,13.80593666434288,284,0.75,1,,543.1351351351351,538.0,469.0,655.0,20096.0,41.78460785329274,9172.756756756757,9009.0,5547.0,13440.0,339392.0,2246.7509183683865,0.01919863065470601,0.4897032487154413,-0.023933044192878516,-0.2002134629287048,,
ID64556,64556,246,20.87415885925293,5.240248031764138,17.135066436564287,0.0,14.146223835647106,291,0.75,1,,564.8108108108108,551.0,471.0,728.0,20898.0,62.55390468220981,10279.72972972973,10371.0,6536.0,14258.0,380350.0,2172.0450507995233,0.032167862057338355,0.56279526847912,0.004376455816649096,0.041244770189054494,,
ID64301,64301,246,17.124691009521484,5.109849605798275,17.435407438399583,0.0,12.979524962604046,267,0.75,1,,555.5405405405405,554.0,472.0,651.0,20555.0,48.243937209534195,10093.297297297297,10361.0,6104.0,14258.0,373452.0,2218.5631844965797,0.026574128432216414,0.5961722042248722,0.013760585344233882,0.12350733919755895,,
ID64367,64367,246,14.677716255187988,5.423367124962413,17.14414313196709,0.0,13.028137415647507,268,0.75,1,,547.2702702702703,544.0,487.0,748.0,20249.0,50.705932508845464,11260.891891891892,11575.0,7488.0,14271.0,416653.0,1919.7035619505855,0.021007317580471366,0.444134821233033,0.026149276439793732,0.2989632094356194,,
ID64496,64496,246,23.859046936035156,5.239753430320635,17.28590439162283,0.0,13.368424586951733,275,0.75,1,,563.1351351351351,551.0,483.0,695.0,20836.0,50.31575971478197,10279.72972972973,10371.0,6536.0,14258.0,380350.0,2172.0450507995233,0.035769382162175414,0.7730132813302987,0.004376455816649096,0.041244770189054494,,
