,label,x,y,major,minor,area,bbox,intensities,r,nor_intensity,nor_area,nor_r,nor_r2,cells
0,40,242.0227273,232.4772727,8.458014221,7.216774221,44,"(238, 229, 246, 237)",16659.193,7.837394221,0.32350895,0.602739726,0.810962084,0.657659501,4
0,45,277.6363636,95.45454545,4,3.468869823,11,"(276, 94, 280, 98)",4673.6104,3.734434912,0.09075798,0.150684932,0.3864148,0.149316397,4
0,46,277.8421053,287.1578947,5.271572221,4.500538595,19,"(276, 285, 281, 290)",11149.371,4.886055408,0.21651237,0.260273973,0.505576926,0.255608028,4
0,48,295.5666667,308.2,6.899688586,5.509070064,30,"(293, 306, 299, 312)",12248.726,6.204379325,0.237861,0.410958904,0.641988427,0.41214914,4
0,50,308.875,32.20833333,5.844265833,5.250407517,24,"(306, 30, 312, 35)",14493.117,5.547336675,0.28144538,0.328767123,0.574001968,0.32947826,4
0,51,315.1917808,280.4657534,10.02898339,9.299649549,73,"(311, 276, 321, 286)",51495.31,9.664316468,1,1,1,1,4
0,52,315.0769231,253.5641026,7.636726222,6.475356997,39,"(312, 251, 319, 257)",28454.408,7.05604161,0.55256313,0.534246575,0.730112847,0.533064769,4
0,53,354.5,284.2857143,4.208834246,4.120630029,14,"(353, 283, 357, 287)",6945.6924,4.164732138,0.1348801,0.191780822,0.430939131,0.185708534,4
0,1,541.3478261,1070.217391,6.134224307,4.794138976,23,"(539, 1068, 545, 1074)",22492.684,5.464181642,0.4405681,0.403508772,0.638001323,0.407045688,5
0,2,577.9411765,951.1764706,5.172256137,4.227363696,17,"(576, 949, 581, 954)",14027.52,4.699809917,0.27475944,0.298245614,0.548752794,0.301129629,5
0,4,639,903.2857143,3.023715784,2.799416849,7,"(638, 902, 641, 905)",5917.2046,2.911566316,0.115901306,0.122807018,0.339956334,0.115570309,5
0,5,668.6,909.6,4.618802154,4.026578365,15,"(667, 908, 671, 912)",12370.078,4.322690259,0.24229486,0.263157895,0.504720063,0.254742342,5
0,10,765.875,978.125,3.464101615,2.738612788,8,"(765, 977, 768, 980)",6596.799,3.101357201,0.12921263,0.140350877,0.362116439,0.131128315,5
0,11,789.2857143,802,3.023715784,2.799416849,7,"(788, 801, 791, 804)",5469.4204,2.911566316,0.10713048,0.122807018,0.339956334,0.115570309,5
0,12,792.7142857,610,3.023715784,2.799416849,7,"(792, 609, 795, 612)",6886.705,2.911566316,0.13489108,0.122807018,0.339956334,0.115570309,5
0,13,804.5964912,813.2631579,9.113184922,8.015875618,57,"(801, 809, 810, 818)",51053.82,8.56453027,1,1,1,1,5
0,14,810.125,698.875,3.464101615,2.738612788,8,"(809, 698, 812, 701)",6387.1895,3.101357201,0.12510699,0.140350877,0.362116439,0.131128315,5
0,15,850.2,358,3.919183588,3.098386677,10,"(849, 357, 853, 360)",8667.163,3.508785133,0.16976522,0.175438596,0.409687983,0.167844244,5
0,19,877.8611111,800.1111111,7.04020372,6.611137309,36,"(875, 797, 882, 804)",27586.924,6.825670515,0.54034984,0.631578947,0.796969629,0.63516059,5
0,26,896.0967742,790.1935484,7.252172036,5.640750972,31,"(893, 787, 900, 794)",22858.82,6.446461504,0.44773966,0.543859649,0.752692944,0.566546668,5
0,23,654.7,862.7,4,3.14960315,10,"(653, 861, 657, 865)",13220.957,3.574801575,0.10385876,0.107526882,0.313129248,0.098049926,6
0,24,658.9069767,819.7209302,8.103126723,6.787568357,43,"(655, 817, 663, 824)",54714.996,7.44534754,0.42981997,0.462365591,0.652163772,0.425317586,6
0,30,774.9166667,779.6666667,4.364045181,3.521300058,12,"(773, 778, 777, 782)",14159.689,3.94267262,0.11123308,0.129032258,0.345352347,0.119268244,6
0,34,776,925.2,3.919183588,3.098386677,10,"(775, 924, 778, 928)",13058.747,3.508785133,0.102584496,0.107526882,0.30734664,0.094461957,6
