,index,label,x,y,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,cells,nor_intensity,nor_length
14,0,73,428.3863636363636,524.8863636363636,8.10176962768174,2,4.0,0.7222222222222222,16627.138671875,2852.1575859533623,50.26548245743669,25.132741228718345,320.0,1005.309649148734,13774.981085921638,1,0.5843863450412745,0.9302325581395348
13,0,45,377.8235294117647,538.0,6.773841406946697,4,3.2,0.7317073170731707,12649.423828125,2269.237072122516,32.169908772759484,20.10619298297468,256.0,804.247719318987,10380.186756002484,1,0.44036644125673413,0.7441860465116278
20,0,102,487.46,691.34,8.506263440891951,1,4.0,0.8333333333333334,25918.51953125,4149.785722599831,50.26548245743669,25.132741228718345,320.0,1005.309649148734,21768.73380865017,1,0.9235113070039,0.9302325581395348
0,0,4,268.26666666666665,559.3333333333334,7.01617551460726,2,3.2,0.7631578947368421,13332.2822265625,2894.8431185754016,32.169908772759484,20.10619298297468,256.0,804.247719318987,10437.439107987098,1,0.4427953006876556,0.7441860465116278
11,0,41,373.44827586206895,557.4137931034483,6.396999081008443,0,3.0,0.7575757575757576,11107.93359375,1980.4767131826372,28.274333882308134,18.84955592153876,240.0,753.9822368615504,9127.456880567364,1,0.3872209430042725,0.6976744186046511
12,0,42,374.6296296296296,501.0,6.635317237498872,0,2.9000000000000004,0.7931034482758621,9762.1171875,1758.0133623734582,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,8004.103825126542,1,0.33956409453636854,0.6744186046511628
20,0,80,451.6,506.0285714285714,7.505907490273429,0,3.2,0.8,16276.33203125,2609.039481922984,32.169908772759484,20.10619298297468,256.0,804.247719318987,13667.292549327016,1,0.5798177935557344,0.7441860465116278
23,0,92,469.4074074074074,739.074074074074,6.421500681256116,0,2.9000000000000004,0.8571428571428571,10598.6474609375,1805.4194626631213,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,8793.227998274378,1,0.37304170067267695,0.6744186046511628
13,0,44,379.2352941176471,516.8235294117648,7.161241084217151,0,3.0,0.7027027027027027,11288.5048828125,2225.805893979036,28.274333882308134,18.84955592153876,240.0,753.9822368615504,9062.698988833465,1,0.38447367043620856,0.6976744186046511
27,0,106,503.0882352941176,471.6764705882353,8.186516444982946,0,3.0,0.7027027027027027,11770.1640625,2220.198856892064,28.274333882308134,18.84955592153876,240.0,753.9822368615504,9549.965205607936,1,0.40514533028871796,0.6976744186046511
11,0,50,378.5,517.3666666666667,6.961973529666151,1,3.0,0.7352941176470589,11290.046875,2255.8885702490807,28.274333882308134,18.84955592153876,240.0,753.9822368615504,9034.15830475092,1,0.38326286760809997,0.6976744186046511
17,0,80,451.5517241379311,507.6896551724138,6.258786926641891,1,3.0,0.7058823529411765,12618.5361328125,2056.459136854857,28.274333882308134,18.84955592153876,240.0,753.9822368615504,10562.076995957645,1,0.44808290720779903,0.6976744186046511
18,0,89,468.5,727.5,6.676183683170241,1,3.2,0.7567567567567568,12943.9384765625,2502.1907375864685,32.169908772759484,20.10619298297468,256.0,804.247719318987,10441.747738976032,1,0.442978088968819,0.7441860465116278
19,0,90,468.4230769230769,739.1923076923077,6.507389431717671,1,3.0,0.7741935483870968,10936.1923828125,2005.5205502081665,28.274333882308134,18.84955592153876,240.0,753.9822368615504,8930.671832604334,1,0.378872583451502,0.6976744186046511
26,0,101,487.6296296296296,690.574074074074,8.69226273332915,0,4.2,0.7903225806451613,27494.734375,3923.031848397106,55.41769440932395,26.389378290154266,336.0,1055.5751316061703,23571.70252660289,1,1.0,0.9767441860465115
8,0,26,307.0744680851064,593.2659574468086,13.254486284062375,3,5.7,0.7889908256880734,36783.98046875,5826.386168446159,102.0703453151324,35.814156250923645,456.0,1432.5662500369458,30957.59430030384,2,0.8667657796779871,0.9661016949152542
24,0,96,384.2,532.46,8.810801102772107,3,4.2,0.8448275862068966,21152.19921875,4582.947468836792,55.41769440932395,26.389378290154266,336.0,1055.5751316061703,16569.25174991321,2,0.4639139680034316,0.711864406779661
