,index,label,x,y,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,cells
25,0,125,809.1052631578947,701.719298245614,9.93254672587752,0,4.300000000000001,0.7878787878787878,13227.435546875,1399.6819142752793,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,11827.75363259972,2
26,0,127,812.6153846153846,637.0192307692307,9.888817039905774,0,4.0,0.711864406779661,8794.1669921875,1151.75692816847,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,7642.41006401903,2
35,0,151,898.1666666666666,420.06666666666666,7.423948774605715,0,3.0,0.7878787878787878,5643.41796875,664.0564800512511,28.274333882308138,18.84955592153876,240.0,753.9822368615504,4979.361488698749,2
36,0,156,904.28125,685.03125,7.281117645626715,0,3.2,0.8157894736842105,6940.58203125,1090.4980779511388,32.169908772759484,20.106192982974676,256.0,804.247719318987,5850.083953298861,2
38,0,159,911.9873417721519,614.3417721518987,10.763863670143202,0,5.0,0.7777777777777778,15138.02734375,1244.4345081942156,78.53981633974483,31.41592653589793,400.0,1256.6370614359173,13893.592835555784,2
47,0,184,962.5,450.0769230769231,6.349393155670209,0,3.0,0.7741935483870968,3671.51416015625,830.2302828252541,28.274333882308138,18.84955592153876,240.0,753.9822368615504,2841.283877330996,2
49,0,189,970.2307692307693,643.1538461538462,6.358802862217988,0,3.0,0.8333333333333334,4407.4140625,869.3745283824392,28.274333882308138,18.84955592153876,240.0,753.9822368615504,3538.039534117561,2
50,0,193,980.6785714285714,747.4285714285714,7.0864349661002475,0,3.2,0.7105263157894737,5800.6328125,834.9699217906455,32.169908772759484,20.106192982974676,256.0,804.247719318987,4965.6628907093545,2
52,0,198,985.0,868.3421052631579,8.178008023157993,0,3.7,0.8043478260869565,8502.8779296875,864.286526562064,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,7638.591403125436,2
60,0,229,1080.7608695652175,723.304347826087,8.465417479585572,0,3.7,0.7843137254901961,7300.87353515625,851.844815624936,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,6449.028719531314,2
3,0,28,556.0,385.2962962962963,7.0271853004038,1,3.0,0.75,3420.428466796875,851.104510168545,28.274333882308138,18.84955592153876,240.0,753.9822368615504,2569.32395662833,2
4,0,32,560.625,456.25,7.058891892469394,1,3.2,0.7692307692307693,4676.2880859375,1164.679842965852,32.169908772759484,20.106192982974676,256.0,804.247719318987,3511.608242971648,2
6,0,39,572.4871794871794,434.7692307692308,7.8279574221367545,1,3.2,0.7272727272727273,6496.91357421875,1139.8446772456155,32.169908772759484,20.106192982974676,256.0,804.247719318987,5357.0688969731345,2
10,0,67,634.3958333333334,466.1458333333333,9.044856680668294,1,3.7,0.8235294117647058,8781.140625,1848.257581415819,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,6932.883043584181,2
20,0,103,759.3333333333334,441.1111111111111,6.394442031083628,1,3.0,0.8064516129032258,5389.11669921875,598.7913961198064,28.274333882308138,18.84955592153876,240.0,753.9822368615504,4790.325303098944,2
23,0,111,791.325,763.075,8.312640976248163,1,3.2,0.7906976744186046,6190.1708984375,885.2008751116227,32.169908772759484,20.106192982974676,256.0,804.247719318987,5304.970023325877,2
