,index,label,x,y,threshold,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,cells
85,0,318,544.6071428571429,510.5,107.42732238769531,7.112071169715046,0,3.2,0.7105263157894737,5317.8427734375,1302.5811576591805,32.169908772759484,20.106192982974676,256.0,804.247719318987,4015.2616157783195,2
87,0,322,551.0,348.0,107.42732238769531,7.014174666289113,0,3.0,0.8064516129032258,5879.7490234375,910.9862131963018,28.274333882308138,18.84955592153876,240.0,753.9822368615504,4968.762810241198,2
95,0,362,597.09375,603.5625,107.42732238769531,7.897025969864498,0,3.2,0.725,6046.53125,2465.9123291393626,32.169908772759484,20.106192982974676,256.0,804.247719318987,3580.6189208606374,2
122,0,462,707.2307692307693,535.3076923076923,107.42732238769531,8.721877602373878,0,3.2,0.7674418604651163,7129.572265625,1390.3889657376567,32.169908772759484,20.106192982974676,256.0,804.247719318987,5739.183299887343,2
4,0,29,268.2962962962963,373.6296296296296,107.42732238769531,6.101916599898585,1,2.9000000000000004,0.7333333333333333,4362.1787109375,902.0775111974217,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,3460.1011997400783,2
18,0,123,381.0,504.5,107.42732238769531,7.392571411289448,1,3.2,0.8205128205128205,6673.41259765625,1847.3157276990823,32.169908772759484,20.106192982974676,256.0,804.247719318987,4826.096869957168,2
32,0,172,425.69642857142856,415.1607142857143,107.42732238769531,10.108219802401281,1,4.2,0.7384615384615385,9030.689453125,1668.8905090140179,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,7361.798944110982,2
44,0,204,451.4375,720.71875,107.42732238769531,7.058985772214374,1,3.2,0.725,6433.41064453125,1173.9747617063113,32.169908772759484,20.106192982974676,256.0,804.247719318987,5259.435882824939,2
68,0,286,519.5,457.0,107.42732238769531,6.201736729460423,1,2.9000000000000004,0.8214285714285714,4574.7021484375,1054.2258547560778,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,3520.4762936814222,2
71,0,298,531.1481481481482,614.3703703703703,107.42732238769531,7.120032409637135,1,3.0,0.75,4690.42236328125,912.2229762451025,28.274333882308138,18.84955592153876,240.0,753.9822368615504,3778.1993870361475,2
78,0,310,542.3023255813954,375.5581395348837,107.42732238769531,8.105875328867318,1,3.2,0.7391304347826086,5885.810546875,1805.199176078895,32.169908772759484,20.106192982974676,256.0,804.247719318987,4080.611370796105,2
79,0,312,541.6923076923077,480.2307692307692,107.42732238769531,6.013306448108151,1,3.0,0.71875,5538.708984375,867.4376738015562,28.274333882308138,18.84955592153876,240.0,753.9822368615504,4671.271310573444,2
84,0,321,550.0666666666667,348.6333333333333,107.42732238769531,7.780317045810752,1,3.2,0.717948717948718,6951.50830078125,1012.3240029346198,32.169908772759484,20.106192982974676,256.0,804.247719318987,5939.18429784663,2
90,0,354,574.3953488372093,584.2790697674419,107.42732238769531,9.04359669334503,1,4.0,0.7692307692307693,8731.072265625,2090.2629355974495,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,6640.8093300275505,2
109,0,418,656.5,625.0,107.42732238769531,6.707767380502277,1,2.9000000000000004,0.8275862068965517,4661.943359375,1266.156268992927,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,3395.787090382073,2
126,0,488,743.6,621.5428571428571,107.42732238769531,7.9637200421147565,1,3.2,0.7142857142857143,6241.99658203125,1498.5461923427065,32.169908772759484,20.106192982974676,256.0,804.247719318987,4743.4503896885435,2
9,0,98,371.1041666666667,568.4583333333334,107.42732238769531,8.625596793226084,2,3.7,0.8235294117647058,8164.16748046875,1683.7091331125703,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,6480.45834735618,2
