,index,label,x,y,threshold,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,cells
92,0,346,557.8541666666666,699.4166666666666,101.15451049804688,8.74492666074107,0,3.7,0.7547169811320755,9461.4150390625,1965.7930386532098,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,7495.62200040929,1
95,0,353,559.078947368421,1015.4736842105264,101.15451049804688,7.435636506625366,0,3.7,0.8444444444444444,7654.888671875,1530.5839661016944,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,6124.304705773306,1
96,0,358,562.5,794.4473684210526,101.15451049804688,7.911119563449333,0,3.7,0.7659574468085106,8443.6826171875,1604.3699194234796,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,6839.31269776402,1
98,0,369,567.6702127659574,847.4893617021277,101.15451049804688,12.106125801095493,0,5.4,0.7850467289719626,19214.396484375,2934.33456743462,91.60884177867838,33.929200658769766,432.00000000000006,1357.1680263507906,16280.06191694038,1
99,0,370,567.5531914893617,968.5957446808511,101.15451049804688,8.701901451614281,0,4.2,0.7333333333333333,11026.4482421875,2318.9114851858467,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,8707.536757001653,1
100,0,377,571.1875,629.5,101.15451049804688,7.774155902733106,0,3.2,0.725,6661.4912109375,1470.1529733866919,32.169908772759484,20.106192982974676,256.0,804.247719318987,5191.338237550808,1
103,0,384,576.0408163265306,927.3061224489796,101.15451049804688,9.354304393175678,0,3.7,0.7735849056603774,9435.5322265625,1604.3646811504732,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,7831.167545412027,1
106,0,390,580.6792452830189,611.0943396226415,101.15451049804688,8.751395387237539,0,4.2,0.8032786885245902,10424.47265625,1755.191682821489,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,8669.280973428511,1
109,0,395,582.3823529411765,847.5441176470588,101.15451049804688,10.120392163010484,0,5.0,0.7951807228915663,14755.1337890625,2450.2017718744464,78.53981633974483,31.41592653589793,400.0,1256.6370614359173,12304.932017188054,1
111,0,398,586.3333333333334,779.0808080808081,101.15451049804688,14.48905740678236,0,5.9,0.7333333333333333,22331.91796875,3021.479055559961,109.3588402714607,37.07079331235956,472.00000000000006,1482.8317324943825,19310.43891319004,1
114,0,405,587.6279069767442,935.6976744186046,101.15451049804688,8.166082499779845,0,3.7,0.7254901960784313,7965.2451171875,1955.1698283146834,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,6010.075288872817,1
119,0,414,592.2,910.0888888888888,101.15451049804688,7.882595789984176,0,3.7,0.9148936170212766,9532.005859375,1762.7203804068267,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,7769.285478968173,1
121,0,419,593.4137931034483,640.5862068965517,101.15451049804688,7.0493419802375925,0,3.2,0.7368421052631579,6593.390625,1899.1867884295061,32.169908772759484,20.106192982974676,256.0,804.247719318987,4694.203836570494,1
123,0,421,597.4142857142857,999.3428571428572,101.15451049804688,11.087424691937894,0,4.5,0.759493670886076,13330.3837890625,2300.6813188456,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,11029.7024702169,1
125,0,424,599.5675675675676,748.3243243243244,101.15451049804688,7.613316229437033,0,3.2,0.7619047619047619,6992.033203125,1999.6571099692956,32.169908772759484,20.106192982974676,256.0,804.247719318987,4992.376093155704,1
129,0,434,604.7073170731708,986.4024390243902,101.15451049804688,12.289413616455827,0,5.1000000000000005,0.7448979591836735,22312.0859375,2660.4107104027644,81.71282491987054,32.04424506661589,408.00000000000006,1281.7698026646358,19651.675227097236,1
132,0,440,604.8108108108108,893.2702702702703,101.15451049804688,8.058406482265111,0,3.2,0.7209302325581395,6526.6875,1783.4697663080879,32.169908772759484,20.106192982974676,256.0,804.247719318987,4743.217733691912,1
133,0,444,606.6666666666666,558.3636363636364,101.15451049804688,7.003929088698293,0,3.2,0.75,5929.646484375,1137.189484191098,32.169908772759484,20.106192982974676,256.0,804.247719318987,4792.457000183902,1
134,0,448,609.0625,885.1875,101.15451049804688,7.687235623462127,0,3.2,0.7692307692307693,5865.6748046875,1636.6349683604203,32.169908772759484,20.106192982974676,256.0,804.247719318987,4229.03983632708,1
135,0,452,612.0333333333333,1016.2166666666667,101.15451049804688,9.5265701695113,0,4.300000000000001,0.8615384615384616,12784.4599609375,1985.5995049404446,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,10798.860455997055,1
137,0,460,615.6578947368421,744.3421052631579,101.15451049804688,7.593857552619079,0,3.7,0.7291666666666666,7461.2822265625,1768.957983331129,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,5692.324243231371,1
139,0,462,616.6538461538462,713.1538461538462,101.15451049804688,6.371547438102486,0,2.9000000000000004,0.7586206896551724,4492.515625,1115.2923662331887,26.420794216690165,18.221237390820804,232.00000000000003,728.8494956328321,3377.2232587668113,1
140,0,465,617.2592592592592,843.4074074074074,101.15451049804688,6.025659376849024,0,3.0,0.8064516129032258,5515.9365234375,1511.1776129452046,28.274333882308138,18.84955592153876,240.0,753.9822368615504,4004.7589104922954,1
