,index,label,x,y,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,cells
121,0,392,668.3333333333334,518.7555555555556,8.700839290028823,0,3.7,0.7647058823529411,10869.08984375,2179.7966137714684,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,8689.293229978532,2
124,0,399,674.6046511627907,741.3255813953489,7.661026943926039,0,3.7,0.76,12011.236328125,2121.649473127909,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,9889.586854997091,2
128,0,408,679.8194444444445,757.0694444444445,12.020265815310182,0,5.1000000000000005,0.7127659574468085,22452.7421875,3524.227744304575,81.71282491987054,32.04424506661589,408.00000000000006,1281.7698026646358,18928.514443195425,2
143,0,446,718.6153846153846,337.1923076923077,9.989219180716056,0,3.7,0.7636363636363637,14060.4794921875,1701.0163578833453,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,12359.463134304155,2
146,0,451,732.1020408163265,541.0,8.663220256581505,0,3.7,0.88,13076.1201171875,2388.212077917997,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,10687.908039269503,2
154,0,468,755.125,548.375,9.491340658756748,0,4.300000000000001,0.8,15479.24609375,3048.709196965676,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,12430.536896784324,2
156,0,470,765.016393442623,693.2295081967213,10.455151617336705,0,4.5,0.7808219178082192,18433.28125,3581.1219623482248,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,14852.159287651775,2
157,0,471,768.0625,651.234375,10.832409817028987,0,4.2,0.7794117647058824,17562.703125,2902.1120924376883,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,14660.591032562312,2
159,0,474,767.0357142857143,720.75,7.194994371076318,0,3.2,0.7105263157894737,8112.50732421875,1454.722417647019,32.169908772759484,20.106192982974676,256.0,804.247719318987,6657.784906571731,2
163,0,488,792.7333333333333,659.6333333333333,10.816302156350694,0,4.2,0.7727272727272727,16808.90625,2475.474042967893,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,14333.432207032107,2
164,0,490,794.5714285714286,589.0285714285715,7.598008596863213,0,3.2,0.8,8388.5869140625,2426.167551671155,32.169908772759484,20.106192982974676,256.0,804.247719318987,5962.419362391345,2
165,0,491,795.78,630.28,9.09029894732308,0,4.300000000000001,0.7619047619047619,13882.2587890625,2912.830758252181,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,10969.428030810319,2
10,0,31,320.59375,229.125,7.429565865886858,1,3.2,0.7692307692307693,8652.404296875,1507.8876355863176,32.169908772759484,20.106192982974676,256.0,804.247719318987,7144.516661288682,2
23,0,76,387.3058823529412,401.32941176470587,11.823103536140739,1,5.4,0.7669902912621359,21506.37890625,3758.1802881704643,91.60884177867838,33.929200658769766,432.00000000000006,1357.1680263507906,17748.198618079536,2
25,0,87,388.6521739130435,600.6739130434783,9.700189352151522,1,3.7,0.7169811320754716,9973.5009765625,2180.707020732807,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,7792.793955829693,2
28,0,114,438.0657894736842,399.60526315789474,11.282181977868623,1,5.0,0.8045977011494253,20866.41796875,3161.98150691911,78.53981633974483,31.41592653589793,400.0,1256.6370614359173,17704.43646183089,2
34,0,130,473.36708860759495,635.9746835443038,10.835761728688786,1,5.4,0.7254901960784313,20863.0625,3447.7614096179605,91.60884177867838,33.929200658769766,432.00000000000006,1357.1680263507906,17415.30109038204,2
40,0,156,504.175,685.475,8.892485422927898,1,3.2,0.75,8357.45703125,1665.9578047478572,32.169908772759484,20.106192982974676,256.0,804.247719318987,6691.499226502143,2
45,0,171,522.175,453.325,8.968317383235663,1,3.2,0.7111111111111111,8422.11328125,1842.8550799030927,32.169908772759484,20.106192982974676,256.0,804.247719318987,6579.258201346907,2
46,0,179,528.7543859649123,573.1228070175439,9.93522104530126,1,4.2,0.7538461538461538,16653.19921875,2709.488795574289,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,13943.710423175711,2
50,0,187,535.3809523809524,198.57142857142858,9.049129169688348,1,3.2,0.7954545454545454,11421.287109375,1661.499067418772,32.169908772759484,20.106192982974676,256.0,804.247719318987,9759.788041956228,2
53,0,197,543.59375,706.5625,7.634103390804652,1,3.7,0.7111111111111111,8523.2236328125,2385.2669927536044,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,6137.956640058896,2
55,0,202,550.1063829787234,736.063829787234,9.109301496495615,1,4.2,0.7627118644067796,13239.9609375,2966.0573797705583,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,10273.903557729442,2
57,0,207,551.5,726.25,6.857308546987924,1,3.2,0.8157894736842105,8480.1552734375,2302.0282268170267,32.169908772759484,20.106192982974676,256.0,804.247719318987,6178.127046620473,2
60,0,213,558.6296296296297,636.1481481481482,7.120032409637137,1,3.2,0.7297297297297297,7182.02197265625,2477.810243768152,32.169908772759484,20.106192982974676,256.0,804.247719318987,4704.211728888098,2
61,0,216,563.1176470588235,611.6274509803922,8.407218331365996,1,4.2,0.8305084745762712,13231.357421875,3635.986759501073,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,9595.370662373927,2
62,0,219,564.2926829268292,298.2439024390244,8.965772627314712,1,3.7,0.7551020408163265,10379.8525390625,2439.743341851281,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,7940.109197211219,2
76,0,257,591.44,401.22,9.244570185285296,1,3.7,0.7592592592592593,11760.5302734375,1904.8560949461535,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,9855.674178491347,2
82,0,272,606.5,596.7058823529412,6.964069923269997,1,3.2,0.7317073170731707,10514.66796875,3012.024927820763,32.169908772759484,20.106192982974676,256.0,804.247719318987,7502.643040929237,2
83,0,273,609.2244897959183,507.1224489795918,9.87019470400225,1,4.0,0.7818181818181819,12229.361328125,2043.3834148216993,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,10185.9779133033,2
86,0,281,611.4722222222222,417.8333333333333,7.211452110358285,1,3.2,0.7380952380952381,8669.7451171875,2062.4733216278255,32.169908772759484,20.106192982974676,256.0,804.247719318987,6607.2717955596745,2
98,0,312,633.125,373.5416666666667,8.976017144191363,1,3.7,0.8235294117647058,11433.962890625,1985.586028220714,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,9448.376862404286,2
102,0,318,641.2,661.15,11.340440805575495,1,4.2,0.746268656716418,12084.376953125,2362.7310090009123,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,9721.645944124088,2
103,0,320,642.8260869565217,506.45652173913044,8.194666371518649,1,4.0,0.7272727272727273,11433.671875,2245.5916211288422,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,9188.080253871158,2
104,0,323,644.1509433962265,398.22641509433964,9.558822516336399,1,4.0,0.8214285714285714,14241.029296875,3782.9918863144703,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,10458.03741056053,2
111,0,347,667.4516129032259,617.0645161290323,8.389686360554863,1,3.0,0.7142857142857143,6407.4443359375,2159.712062842329,28.274333882308138,18.84955592153876,240.0,753.9822368615504,4247.732273095171,2
112,0,349,668.5555555555555,523.2777777777778,8.005239390083332,1,3.2,0.7804878048780488,9099.919921875,1728.5665680246166,32.169908772759484,20.106192982974676,256.0,804.247719318987,7371.353353850383,2
115,0,354,677.0338983050848,322.40677966101697,11.089504485181719,1,4.2,0.7313432835820896,15191.751953125,3397.8843689281493,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,11793.86758419685,2
116,0,357,677.0,741.25,7.686822350698642,1,3.2,0.825,10160.96484375,1562.8458594391122,32.169908772759484,20.106192982974676,256.0,804.247719318987,8598.118984310888,2
118,0,361,681.7575757575758,757.4848484848485,10.739224492474769,1,4.300000000000001,0.7162162162162162,14474.6630859375,2911.6621088823304,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,11563.00097705517,2
123,0,368,689.6206896551724,347.58620689655174,9.140007622673272,1,4.2,0.7424242424242424,14374.064453125,2290.2782266846625,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,12083.786226440337,2
126,0,374,693.4411764705883,409.3235294117647,7.901007865421701,1,3.2,0.775,10641.7890625,1611.2043942187447,32.169908772759484,20.106192982974676,256.0,804.247719318987,9030.584668281255,2
128,0,376,698.0333333333333,559.1333333333333,7.016913989337136,1,3.0,0.84375,8065.1640625,1462.5273116710014,28.274333882308138,18.84955592153876,240.0,753.9822368615504,6602.636750828999,2
