LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID811997,811997,138,14.321734428405762,9.06625978876283,30.77465942624316,0.0,12.234669119119644,254,0.75,1,,550.7027027027027,542.0,487.0,650.0,20376.0,43.453592656013086,10056.432432432432,10286.0,6991.0,12402.0,372088.0,1401.9217274976622,,,0.023655967998191425,0.5857444953790392,0.07028595609568558,0.9421474979024814
ID811742,811742,138,18.1949462890625,9.065772397407772,30.615066316272554,0.0,10.885965436697006,226,0.75,1,,550.2702702702703,552.0,474.0,642.0,20360.0,41.331081019715164,10860.054054054053,11084.0,7848.0,12567.0,401822.0,1179.4417452042003,,,0.024876031257789723,0.6463072657072773,0.08009003186679393,1.365538646882844
ID811487,811487,138,16.95835304260254,9.005277416647953,30.596120007185004,0.0,9.055581867694855,188,0.75,1,,566.1891891891892,552.0,486.0,715.0,20949.0,57.19112102699442,10178.648648648648,10694.0,6328.0,12567.0,376610.0,1741.6730496887214,,,0.03379348861221261,0.6472352980918229,0.08678954952334206,0.9334164878114709
ID811483,811483,138,21.795446395874023,9.222673087490874,30.835116866755477,0.0,9.296421810984612,193,0.75,1,,568.4054054054054,558.0,479.0,709.0,21031.0,54.50303735647291,10695.756756756757,11084.0,7848.0,12567.0,395743.0,1324.0819755883992,,,0.035000932209886364,0.7053527437824763,0.09289763693947821,1.3732569940556811
ID811732,811732,138,16.945293426513672,9.083901572165502,30.56974209142488,0.0,10.837797448039055,225,0.75,1,,541.8648648648649,527.0,470.0,708.0,20049.0,52.63773581026478,10860.054054054053,11084.0,7848.0,12567.0,401822.0,1179.4417452042003,,,0.025065003827224774,0.5034312331555995,0.08009003186679393,1.365538646882844
ID811477,811477,138,44.408260345458984,9.594002140732153,30.948627169569026,0.0,9.24825382232666,192,0.75,1,,621.5135135135135,609.0,492.0,919.0,22996.0,95.52446505175219,11111.594594594595,11237.0,8729.0,12748.0,411129.0,992.4646218004577,,,0.07654184501492886,0.9251964727676543,0.05402865482026436,1.147791716193491
ID811990,811990,138,20.780916213989258,9.0684986891139,30.62654137747564,0.0,12.620013028383255,262,0.75,1,,563.3513513513514,561.0,471.0,689.0,20844.0,47.73376176263518,10338.432432432432,10789.0,7392.0,12402.0,382522.0,1304.6890975022138,,,0.03260152205377463,0.745227358664836,0.06664568889919899,0.9902150784590458
ID811984,811984,138,17.981624603271484,9.12768951780981,30.565515666136353,0.0,12.42734107375145,258,0.75,1,,558.5405405405405,558.0,494.0,654.0,20666.0,41.48265674725777,10338.432432432432,10789.0,7392.0,12402.0,382522.0,1304.6890975022138,,,0.031091827622046847,0.8120205876639756,0.06664568889919899,0.9902150784590458
ID812012,812012,138,19.193016052246094,9.094685485853159,30.69697286760183,0.0,12.331005096435547,256,0.75,1,,550.2972972972973,528.0,474.0,714.0,20361.0,58.608809000802026,10056.432432432432,10286.0,6991.0,12402.0,372088.0,1401.9217274976622,,,0.025065786798492005,0.4591917558385063,0.07028595609568558,0.9421474979024814
ID812005,812005,138,12.813776969909668,9.206015740676872,30.646033594097,0.0,12.668181017041206,263,0.75,1,,539.972972972973,530.0,476.0,641.0,19979.0,38.91264182362454,10338.432432432432,10789.0,7392.0,12402.0,382522.0,1304.6890975022138,,,0.015333727677355287,0.4191314357024634,0.06664568889919899,0.9902150784590458
