LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID34821,34821,131,25.841197967529297,11.545280636151624,18.545589184760473,0.0,9.173401828855276,187,0.75,1,,595.1621621621622,588.0,504.0,827.0,22021.0,68.9168232620202,31978.135135135137,31587.0,25681.0,38442.0,1183191.0,3439.6132547631496,0.05369938393444587,0.8802228438697185,0.023375573279159567,0.4247180703652978
ID34055,34055,131,27.695253372192383,11.318300668355104,18.469178714418447,0.0,7.113065589219332,145,0.75,1,,588.5135135135135,582.0,476.0,711.0,21775.0,57.89387878870443,30551.108108108107,30175.0,21899.0,36646.0,1130391.0,3804.0353703796045,0.04668992284786926,0.9068989542145193,0.015301871287248636,0.24208159614721428
ID31754,31754,131,13.327401161193848,12.70023522207877,19.2807426234916,0.0,2.0112806148827076,41,0.75,1,,565.4594594594595,556.0,494.0,809.0,20922.0,58.204903666364835,30457.837837837837,30712.0,25422.0,35799.0,1126940.0,2222.922732119354,0.020146827126143962,0.3837212683570853,0.005680680499230563,0.1547907324290036
ID33802,33802,131,41.54692459106445,11.410126963167253,18.855369883209505,0.0,6.5243980921804905,133,0.75,1,,625.7837837837837,620.0,506.0,954.0,23154.0,92.45032754437953,30838.945945945947,30175.0,25681.0,36646.0,1141041.0,2916.5378347351234,0.06887684782854761,0.8723513538711244,0.0010975283783075575,0.02318468907336011
ID35087,35087,131,43.75418472290039,11.216587404048738,18.51176166351985,0.0,10.154514323920012,207,0.75,1,,612.0,584.0,507.0,937.0,22644.0,89.24933862188809,30551.108108108107,30175.0,21899.0,36646.0,1130391.0,3804.0353703796045,0.07072202408989971,0.9058459714605277,0.015301871287248636,0.24208159614721428
ID33040,33040,131,32.459571838378906,10.906499694849542,18.483245549352077,0.0,4.758395601063967,97,0.75,1,,606.0,601.0,501.0,829.0,22422.0,76.13292469242347,28940.08108108108,28512.0,20855.0,36646.0,1070783.0,4361.559566755263,0.05613835171096288,0.8461920671423793,-8.943791301649595E-4,-0.011879500645384155
ID33296,33296,131,33.67534255981445,11.221831465815434,18.892378123469083,0.0,5.298007473349571,108,0.75,1,,620.4594594594595,613.0,481.0,786.0,22957.0,57.86411025199693,29841.18918918919,29708.0,23919.0,36646.0,1104124.0,3254.2034768540157,0.0672913134681644,1.3521041846591881,-0.0016976736354527358,-0.031188431774591952
ID34576,34576,131,15.91901683807373,11.293055593004768,18.321165072992166,0.0,8.388511832803488,171,0.75,1,,571.5945945945946,565.0,501.0,730.0,21149.0,47.45726701140924,31170.891891891893,31286.0,21899.0,38442.0,1153323.0,4302.064599854507,0.03391404043248195,0.7901517114212611,0.025961096999457735,0.3666860968476918
ID34321,34321,131,28.026592254638672,11.287995009762938,18.18291813648728,0.0,7.7998443357646465,159,0.75,1,,585.4594594594595,568.0,466.0,775.0,21662.0,73.05157789557343,31170.891891891893,31286.0,21899.0,38442.0,1153323.0,4302.064599854507,0.04751569054680014,0.7270658231261022,0.025961096999457735,0.3666860968476918
ID32276,32276,131,36.6591682434082,10.734643666498846,18.06992841601439,0.0,3.0905043594539165,63,0.75,1,,601.6486486486486,576.0,508.0,800.0,22261.0,78.88184420603606,27053.405405405407,25993.0,20855.0,36290.0,1000976.0,4706.894703278133,0.05173200173718057,0.7503261464389188,-0.03142428717451178,-0.37294888535185544
