,intensity,area,perimeter,label,frame,background,final_intensity,length(um),unit_length_intensity
1,137116.953125,601.0,214.6329979645907,1.0,0.0,20591.42823410034,116525.52489089966,4.2926599592918135,27145.295922792728
2,109296.0234375,500.0,175.9973866541854,0.0,1.0,17033.601760864258,92262.42167663574,3.5199477330837077,26211.304449060026
3,130451.046875,614.0,210.80129192261793,1.0,1.0,20917.26296234131,109533.78391265869,4.216025838452358,25980.339805713087
4,93505.15625,408.0,144.91355436989397,2.0,1.0,13899.419036865234,79605.73721313477,2.8982710873978794,27466.629177399085
5,176792.96875,822.0,363.20403710924563,0.0,2.0,27606.173126220703,149186.7956237793,7.2640807421849125,20537.601510594777
0,80479.328125,370.0,163.41466775700908,0.0,0.0,11112.82361984253,69366.50450515747,3.2682933551401816,21224.075371343846
1,122602.125,538.0,208.06395833236763,1.0,0.0,16158.646236419678,106443.47876358032,4.161279166647352,25579.50920878481
2,329615.3125,1354.0,442.5320565342763,2.0,0.0,40666.927516937256,288948.38498306274,8.850641130685526,32647.169930014126
3,131498.96875,589.0,234.91182551134682,0.0,1.0,17709.47727203369,113789.49147796631,4.698236510226937,24219.617558689057
4,80923.421875,358.0,157.67049453428214,1.0,1.0,10763.994674682617,70159.42720031738,3.153409890685643,22248.74964956195
5,334177.0625,1376.0,453.1233717585011,2.0,1.0,41372.225341796875,292804.8371582031,9.062467435170023,32309.615372726552
6,83089.109375,352.0,142.2320373085595,5.0,1.0,10583.592529296875,72505.51684570312,2.8446407461711902,25488.461748040976
7,195060.125,865.0,341.1570720052012,0.0,2.0,26214.440660476685,168845.68433952332,6.823141440104024,24746.0331610756
8,72438.8125,312.0,119.47861053331502,1.0,2.0,9455.382064819336,62983.430435180664,2.3895722106663007,26357.61754930125
9,113822.6640625,492.0,200.87697012349457,2.0,2.0,14910.410179138184,98912.25388336182,4.017539402469891,24620.107975183222
10,58613.73046875,250.0,115.05207587797382,5.0,2.0,7576.427936553955,51037.302532196045,2.3010415175594763,22180.08764410608
11,83188.5,358.0,179.31320057498704,7.0,2.0,10849.444805145264,72339.05519485474,3.5862640114997406,20171.146062557524
12,108803.5078125,474.0,201.10700791962222,0.0,3.0,14404.307315826416,94399.20049667358,4.022140158392444,23469.89333519465
13,52364.68359375,239.0,100.84274412508677,1.0,3.0,7262.931325912476,45101.752267837524,2.016854882501735,22362.418168575758
14,102638.359375,433.0,157.34517196314002,2.0,3.0,13158.36512184143,89479.99425315857,3.1469034392628004,28434.299297763115
15,96161.1015625,395.0,154.02935804233837,3.0,3.0,12003.589429855347,84157.51213264465,3.0805871608467674,27318.659638090583
16,50050.08984375,201.0,84.48413571485352,9.0,3.0,6108.155633926392,43941.93420982361,1.6896827142970705,26006.026952879147
17,84856.1015625,360.0,130.89479216703594,0.0,4.0,10985.406646728516,73870.69491577148,2.617895843340719,28217.58363827969
18,102029.140625,441.0,168.3965627796201,1.0,4.0,13457.123142242432,88572.01748275757,3.367931255592402,26298.641736135498
19,101343.046875,441.0,168.6429488585649,2.0,4.0,13457.123142242432,87885.92373275757,3.372858977171298,26056.80353895629
0,82216.046875,406.0,143.3427580430991,0.0,0.0,11002.650489807129,71213.39638519287,2.866855160861982,24840.249119450116
1,516810.6875,2261.0,665.0190361328415,1.0,0.0,61273.38117599487,455537.3063240051,13.300380722656831,34249.94485669195
2,553608.625,2446.0,752.3194419301426,0.0,1.0,66440.81489562988,487167.8101043701,15.046388838602851,32377.72300915803
3,87049.453125,411.0,147.0955275928745,0.0,2.0,11484.190773010254,75565.26235198975,2.94191055185749,25685.77834709443
4,342473.84375,1547.0,512.0051140500282,3.0,2.0,43226.38230133057,299247.46144866943,10.240102281000564,29223.093015769162
5,392232.75,1741.0,546.4769250668542,0.0,3.0,50345.745262145996,341887.004737854,10.929538501337083,31281.010144758508
6,74734.2734375,345.0,139.91531106446584,6.0,3.0,9976.612358093262,64757.66107940674,2.798306221289317,23141.735020540287
