LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Probability stuck,Probability diffusive
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,P stuck,P diffusive
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID32235,32235,198,13.474617958068848,25.48229996691117,40.73834997980642,0.0,3.04144873470068,62,0.75,1,,562.5945945945946,564.0,475.0,647.0,20816.0,43.1035313450582,15669.297297297297,15857.0,12243.0,19007.0,579764.0,1521.0068460811824,0.01860901495026145,0.4769013678154188,-0.008478664302019778,-0.17618694455386155,,
ID32349,32349,198,14.599287033081055,25.65776177278315,40.784371609588476,0.0,2.992393109947443,61,0.75,1,,568.5135135135135,554.0,476.0,685.0,21035.0,53.01709452914515,15669.297297297297,15857.0,12243.0,19007.0,579764.0,1521.0068460811824,0.019074930171631494,0.4014317357780607,-0.008478664302019778,-0.17618694455386155,,
ID32417,32417,200,19.73407745361328,14.906583607223062,17.153431698189213,0.0,3.2867268584668636,67,0.75,1,,582.2972972972973,579.0,509.0,657.0,21545.0,37.748336876436525,37316.94594594595,37030.0,28412.0,45123.0,1380727.0,4384.277502533254,0.032363528635016806,0.9671640866812728,0.021135872829196302,0.3523503506071684,,
ID32274,32274,200,13.451618194580078,14.686252661065344,16.764182675409483,0.0,3.0905043594539165,63,0.75,1,,573.3243243243244,565.0,479.0,700.0,21213.0,54.41765137141423,40059.40540540541,40531.0,33175.0,45123.0,1482198.0,2853.414236192023,0.02141064406939747,0.4416923953922964,0.03671885244753909,0.9944839414418892,,
ID32612,32612,200,21.619102478027344,14.726275332843013,16.85734150884939,0.0,3.4829493574798107,71,0.75,1,,580.1891891891892,573.0,495.0,725.0,21467.0,53.710043462733935,38815.83783783784,39591.0,31492.0,45123.0,1436186.0,3615.3970237913895,0.03251812748308424,0.6804120060955587,0.03185215030987288,0.662833190866846,,
ID32388,32388,200,12.465624809265137,14.703734417487054,16.34111519171429,0.0,3.237671233713627,66,0.75,1,,567.3243243243244,568.0,491.0,735.0,20991.0,48.813166515042084,40748.45945945946,40999.0,36161.0,45123.0,1507693.0,2313.163365448981,0.02517450466222365,0.570804720365761,0.0367888998892273,1.2501477591746775,,
ID32537,32537,200,15.08852767944336,14.75478224143642,16.95547097031713,0.0,3.630116231739521,74,0.75,1,,578.081081081081,575.0,496.0,720.0,21389.0,46.52680134334664,39074.37837837838,40388.0,31492.0,45123.0,1445752.0,3759.8788644150595,0.02635375138678154,0.6380591283887079,0.02835048202519947,0.5730170066422384,,
ID32361,32361,200,12.984923362731934,14.483570944484084,16.719028230279186,0.0,3.18861560896039,65,0.75,1,,557.7027027027027,557.0,488.0,655.0,20635.0,40.01587522809254,39724.05405405405,40388.0,33687.0,45123.0,1469790.0,2706.650307277592,0.012632185909386676,0.3477180265314522,0.04356082586893223,1.2252642084737637,,
ID32443,32443,200,15.933520317077637,14.889036742454007,16.79215893200772,0.0,3.3357824832201004,68,0.75,1,,572.8108108108108,568.0,485.0,651.0,21194.0,41.28682722251858,40401.05405405405,40990.0,33175.0,45123.0,1494839.0,3044.0957419052847,0.025303054266017935,0.6847789276703984,0.03053124503173171,0.7864076595704834,,
ID32220,32220,200,12.082342147827148,12.752585047670431,16.283947404043495,0.0,3.04144873470068,62,0.75,1,,554.4324324324324,548.0,480.0,617.0,20514.0,38.26046736990236,33981.2972972973,34039.0,29229.0,41258.0,1257308.0,3161.629264098434,0.015766245631960323,0.4498449645133675,0.009480070103726215,0.20187047616147516,,
