LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,EXTRACK_P_STUCK,EXTRACK_P_DIFFUSIVE,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Probability stuck,Probability diffusive,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,P stuck,P diffusive,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,
ID684544,684544,161,19.634761810302734,13.837020674766016,7.328892735562231,0.0,18.69928687810898,400,0.75,1,,573.8648648648649,568.0,508.0,655.0,21233.0,38.9673382905922,14167.945945945947,13965.0,11612.0,17209.0,524214.0,1296.4540731023462,,,0.03617236474221473,1.028214645891306,-0.029409088751281013,-0.6622547747899433
ID684535,684535,161,14.64433479309082,14.903337697474853,6.964402777616465,0.0,18.652538660913706,399,0.75,1,,547.8648648648649,533.0,486.0,626.0,20271.0,42.658307880543404,15528.45945945946,15544.0,13732.0,17781.0,574553.0,912.9885174705282,,,0.01978564602837106,0.49835768670496094,-0.003249615614755915,-0.11090180989636318
ID684618,684618,162,30.61874771118164,2.2067883792004586,14.722693478288363,0.0,19.540754787623882,418,0.75,1,,583.1351351351351,567.0,478.0,846.0,21576.0,83.9603617330365,12297.18918918919,12489.0,4890.0,18959.0,454996.0,4521.894040467248,,,0.04801530616176691,0.6364099791293211,0.03217723014026764,0.16955470718619417
ID684558,684558,162,41.441036224365234,2.1860518119593033,14.728931850632344,0.0,18.93302796408534,405,0.75,1,,618.1351351351351,586.0,486.0,926.0,22871.0,102.29319575562148,12297.18918918919,12489.0,4890.0,18959.0,454996.0,4521.894040467248,,,0.07723285251692669,0.8664812403249625,0.03217723014026764,0.16955470718619417
ID684622,684622,162,17.098310470581055,2.234111322267208,14.8403560565447,0.0,19.774495873600245,423,0.75,1,,560.2972972972973,550.0,493.0,841.0,20731.0,61.065931975595426,15148.918918918918,16747.0,7769.0,19215.0,560510.0,3259.3234504041407,,,0.02482365243844468,0.4444941764632167,0.07493695654803649,0.6480331640260469
ID684748,684748,162,16.40338134765625,2.1356093626152015,14.812028699180333,0.0,21.0366977378726,450,0.75,1,,556.081081081081,552.0,497.0,683.0,20575.0,44.01223212445123,13730.621621621622,14866.0,6146.0,18959.0,508033.0,4009.4537959355184,,,0.026850326895243762,0.6607499705729509,0.06076300349090262,0.39233391344709645
ID684675,684675,162,27.22625732421875,2.115624907719781,14.775664807209948,0.0,20.24197804555297,433,0.75,1,,572.0,574.0,483.0,724.0,21164.0,56.67843015155275,13730.621621621622,14866.0,6146.0,18959.0,508033.0,4009.4537959355184,,,0.04529959585310141,0.8747052969596917,0.06076300349090262,0.39233391344709645
ID684545,684545,162,16.292720794677734,2.2878781826069954,14.663851264165164,0.0,18.69928687810898,400,0.75,1,,553.1621621621622,551.0,492.0,692.0,20467.0,43.63899473935968,13875.216216216217,14866.0,6255.0,19215.0,513383.0,4002.5795303024765,,,0.02758681950194652,0.6805982557117799,0.05424240557106631,0.35672064574063717
ID684550,684550,162,34.81858444213867,2.201215079188449,14.65362723404943,0.0,18.792783312499523,402,0.75,1,,592.027027027027,579.0,494.0,765.0,21905.0,71.0783943131676,12297.18918918919,12489.0,4890.0,18959.0,454996.0,4521.894040467248,,,0.05236826976533831,0.8289615763779606,0.03217723014026764,0.16955470718619417
ID684678,684678,162,16.581682205200195,2.0309443650129837,14.661057057853034,0.0,20.382222697138786,436,0.75,1,,552.4594594594595,541.0,479.0,738.0,20441.0,53.945236940703005,12297.18918918919,12489.0,4890.0,18959.0,454996.0,4521.894040467248,,,0.02891952182673453,0.5756877727638836,0.03217723014026764,0.16955470718619417
ID684615,684615,162,14.816497802734375,2.3678727143036253,14.939765101827128,0.0,19.634251222014427,420,0.75,1,,561.972972972973,555.0,484.0,705.0,20793.0,44.0583492443616,15148.918918918918,16747.0,7769.0,19215.0,560510.0,3259.3234504041407,,,0.02845590031006271,0.7058360902378296,0.07493695654803649,0.6480331640260469
ID684612,684612,162,16.17627716064453,2.2400198877052175,14.797324617418983,0.0,19.587503004819155,419,0.75,1,,556.0540540540541,546.0,491.0,679.0,20574.0,45.5381073302264,15148.918918918918,16747.0,7769.0,19215.0,560510.0,3259.3234504041407,,,0.026352219298355017,0.6270364696316881,0.07493695654803649,0.6480331640260469
ID684741,684741,162,12.65203857421875,2.210949152102722,14.761123815082572,0.0,20.84970486909151,446,0.75,1,,559.8648648648649,548.0,491.0,720.0,20715.0,50.69635213819748,13730.621621621622,14866.0,6146.0,18959.0,508033.0,4009.4537959355184,,,0.026189173084040587,0.563677703052569,0.06076300349090262,0.39233391344709645
ID684762,684762,162,12.773984909057617,1.928956856331492,14.630657383620497,0.0,20.896453086286783,447,0.75,1,,547.5675675675676,544.0,483.0,714.0,20260.0,44.58795336843333,10584.972972972973,10752.0,3887.0,17195.0,391644.0,4629.053511887276,,,0.018793900504358692,0.45308612362740525,-0.0022635068433823767,-0.010375128933743068
ID684568,684568,162,36.05625915527344,2.144809827693397,14.678444836122363,0.0,19.073272615671158,408,0.75,1,,606.5945945945946,577.0,477.0,850.0,22444.0,88.51662099398165,12297.18918918919,12489.0,4890.0,18959.0,454996.0,4521.894040467248,,,0.06443592797768771,0.8296831444316172,0.03217723014026764,0.16955470718619417
ID684632,684632,162,16.35087013244629,2.0893102780759394,14.626742990086036,0.0,19.727747656404972,422,0.75,1,,557.9459459459459,551.0,470.0,695.0,20644.0,54.14073530364378,12297.18918918919,12489.0,4890.0,18959.0,454996.0,4521.894040467248,,,0.03570096803184219,0.7104664629958927,0.03217723014026764,0.16955470718619417
ID684575,684575,162,35.67823028564453,2.2784995417144023,14.793128996635017,0.0,18.979776181280613,406,0.75,1,,596.5135135135135,569.0,487.0,821.0,22071.0,78.54461634483141,15148.918918918918,16747.0,7769.0,19215.0,560510.0,3259.3234504041407,,,0.058275889016265424,0.8364189536910115,0.07493695654803649,0.6480331640260469
ID684572,684572,162,35.53185272216797,2.1432606880445975,14.78703874876874,0.0,19.026524398475885,407,0.75,1,,603.6756756756756,590.0,499.0,909.0,22336.0,93.65452295361752,13730.621621621622,14866.0,6146.0,18959.0,508033.0,4009.4537959355184,,,0.0615758543480988,0.747763617792683,0.06076300349090262,0.39233391344709645
ID684700,684700,162,14.556278228759766,2.1066049312407724,14.886954360112025,0.0,20.66271200031042,442,0.75,1,,549.4594594594595,548.0,488.0,645.0,20330.0,36.14983832343945,13730.621621621622,14866.0,6146.0,18959.0,508033.0,4009.4537959355184,,,0.029990900038777166,0.8851470015337156,0.06076300349090262,0.39233391344709645
ID684637,684637,162,14.814603805541992,2.0195933460742115,14.73354160081351,0.0,20.05498517677188,429,0.75,1,,563.4864864864865,555.0,477.0,703.0,20849.0,49.41413519183308,12297.18918918919,12489.0,4890.0,18959.0,454996.0,4521.894040467248,,,0.03153065292495113,0.697128965513461,0.03217723014026764,0.16955470718619417
ID684754,684754,162,15.879313468933105,2.093849084374478,14.452610612820385,0.0,20.989949520677328,449,0.75,1,,560.5405405405405,544.0,487.0,713.0,20740.0,53.5519449769176,10779.513513513513,11081.0,3983.0,17775.0,398842.0,4586.799450728275,,,0.037426442119236535,0.75523655978918,-0.008576298705974239,-0.04065931023897083
