,index,label,x,y,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,unit_intensity,cell
15,0,83,233.68817204301075,70.58064516129032,14.51451123780441,1,5.4,0.6666666666666666,6964.9775390625,1840.3184136552736,91.60884177867838,33.929200658769766,432.00000000000006,1357.1680263507906,5124.659125407226,151.03978360547208,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-3-2_SIR.tif
21,0,118,278.16279069767444,257.8139534883721,8.75897837779825,1,3.7,0.6923076923076923,2958.16259765625,1136.1465377284214,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,1822.0160599278286,78.37374657576565,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-3-2_SIR.tif
27,0,176,363.3333333333333,193.26190476190476,8.654947541230877,1,3.2,0.7954545454545454,3043.130126953125,931.2973599737138,32.169908772759484,20.106192982974676,256.0,804.247719318987,2111.832766979411,105.03394495256502,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-3-2_SIR.tif
13,0,66,214.02898550724638,299.463768115942,12.147132473745057,2,5.0,0.6853932584269663,5253.8330078125,1586.0073812516032,78.53981633974483,31.41592653589793,400.0,1256.6370614359173,3667.825626560897,116.75051577325898,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-3-2_SIR.tif
19,0,114,329.49056603773585,227.11320754716982,9.116219840860765,3,4.0,0.7894736842105263,3847.89501953125,1226.2858599392325,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,2621.6091595920175,104.31051415101477,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-3-2_SIR.tif
0,0,10,64.38028169014085,147.0,11.815162189951609,4,5.0,0.7078651685393258,5516.7978515625,1751.601262090132,78.53981633974483,31.41592653589793,400.0,1256.6370614359173,3765.196589472368,119.84992978545463,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-3-2_SIR.tif
3,0,49,384.7260273972603,439.16438356164383,10.838776727785067,0,5.1000000000000005,0.7608695652173914,8052.255859375,2873.458691964541,81.71282491987054,32.04424506661589,408.00000000000006,1281.7698026646358,5178.797167410459,161.61395460072163,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-4_SIR.tif
11,0,101,436.56451612903226,506.1774193548387,10.698843680998202,0,4.2,0.7246376811594203,4735.73828125,2000.2242850212383,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,2735.5139962287617,103.65966057068376,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-4_SIR.tif
6,0,52,390.8933333333333,461.14666666666665,11.85609730066711,1,5.7,0.6761904761904762,8622.931640625,3614.55128727518,102.07034531513239,35.814156250923645,456.0,1432.5662500369458,5008.380353349819,139.84359475788722,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-4_SIR.tif
13,0,88,425.8988764044944,487.4269662921348,12.084707179535068,1,5.9,0.6779661016949152,8976.99609375,3918.554400898739,109.3588402714607,37.07079331235956,472.00000000000006,1482.8317324943825,5058.441692851261,136.45355928125645,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-4_SIR.tif
22,0,140,484.3333333333333,518.3611111111111,8.886409553359758,1,3.2,0.6590909090909091,3173.757080078125,1305.3974402410163,32.169908772759484,20.106192982974676,256.0,804.247719318987,1868.3596398371087,92.9245850479591,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-4_SIR.tif
14,0,88,452.265625,558.359375,11.996981355091522,3,4.5,0.6625,5595.994140625,1784.8454445726425,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,3811.1486960523575,134.79181196332536,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-4_SIR.tif
4,0,31,374.1458333333333,444.5416666666667,10.594917354276417,4,4.0,0.6724137931034483,4671.6708984375,1931.4404582840207,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,2740.2304401534793,109.03030494032659,WAVE2_dPRD/tirf/250319_pMW166_latb_tirf_1-4_SIR.tif
