,index,label,x,y,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,unit_intensity,cell
27,0,110,399.4651162790698,658.4883720930233,8.363022137912143,1,3.7,0.660377358490566,7948.64697265625,2378.4905710408293,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,5570.156401615421,239.59943921947536,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
29,0,112,404.20512820512823,882.7948717948718,12.41489154497044,1,5.0,0.7282608695652174,14302.8837890625,4552.069026660919,78.53981633974483,31.41592653589793,400.0,1256.6370614359173,9750.81476240158,310.3780737219273,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
31,0,117,404.83720930232556,808.1627906976744,9.247800196559375,1,3.7,0.7254901960784313,8050.08544921875,2785.6535294026135,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,5264.4319198161365,226.44874665121475,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
32,0,118,404.6507936507937,842.6031746031746,9.662903717728376,1,4.5,0.7837837837837838,12217.3173828125,4033.3709449651838,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,8183.946437847317,289.4478954628243,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
34,0,122,416.6909090909091,711.6363636363636,9.71937222912739,1,4.300000000000001,0.7058823529411765,10560.6201171875,3865.8457287395004,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,6694.774388448,247.79219460616736,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
36,0,130,431.0,666.4558823529412,10.53410931494101,1,4.5,0.8513513513513513,15097.701171875,3536.083771651983,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,11561.617400223016,408.9085687517247,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
37,0,136,435.8775510204082,736.4897959183673,8.571534897643351,1,4.0,0.7192982456140351,9132.669921875,3020.60579121992,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,6112.064130655081,243.19130472210603,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
41,0,154,463.5405405405405,667.3243243243244,8.181873200441423,1,3.0,0.7368421052631579,6916.27392578125,1639.1188167876003,28.274333882308138,18.84955592153876,240.0,753.9822368615504,5277.155108993649,279.96177368632965,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
42,0,155,463.0425531914894,787.7446808510638,9.299137909288099,1,4.0,0.7142857142857143,8856.376953125,3011.108057169914,50.26548245743669,25.132741228718345,320.0,1005.3096491487339,5845.268895955086,232.5758596231394,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
43,0,156,469.475,684.65,8.939230887206874,1,3.2,0.7111111111111111,7843.48046875,2355.9110237048194,32.169908772759484,20.106192982974676,256.0,804.247719318987,5487.569445045181,272.9293133559342,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
46,0,163,483.03333333333336,859.8333333333334,10.910355647639975,1,4.300000000000001,0.7285714285714285,11985.2744140625,3513.6082540005445,58.08804816487529,27.017696820872224,344.00000000000006,1080.7078728348888,8471.666160061955,313.55989432516185,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
47,0,166,486.27941176470586,720.6323529411765,10.914849961259979,1,4.5,0.7792207792207793,14535.4306640625,5113.291783912629,63.61725123519331,28.274333882308138,360.0,1130.9733552923256,9422.13888014987,333.2399949498194,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
48,0,171,492.67088607594934,586.379746835443,11.574270769283121,1,5.0,0.7582417582417582,16743.896484375,3477.462199331224,78.53981633974483,31.41592653589793,400.0,1256.6370614359173,13266.434285043775,422.28371873370224,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
57,0,194,513.6931818181819,715.2159090909091,11.80995060651711,1,5.1000000000000005,0.8061224489795918,18145.6015625,5123.571046558469,81.71282491987054,32.04424506661589,408.00000000000006,1281.7698026646358,13022.030515941531,406.37657366776443,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
59,0,199,522.8701298701299,672.012987012987,11.206257564618175,1,5.1000000000000005,0.7659574468085106,17198.08203125,3936.807627553344,81.71282491987054,32.04424506661589,408.00000000000006,1281.7698026646358,13261.274403696656,413.84262216595084,Abi2-dPRD/tirf/250319_pMW167_latb_tirf_1-1_SIR.tif
