,index,label,x,y,length,frame,r,score,intensity,background,area,perimeter,diameter(nm),length(um),final_intensity,unit_intensity,cell
84,0,353,443.7818181818182,481.7090909090909,8.954107350223499,0,4.2,0.75,18301.251953125,3432.2837719303184,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,14868.968181194681,563.4451868364862,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
87,0,370,463.35820895522386,466.4029850746269,10.605999239925952,0,4.2,0.7714285714285715,19320.76171875,3332.28863773182,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,15988.473081018179,605.8677436513688,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
88,0,379,490.6,454.26,8.769351254242787,0,4.2,0.7833333333333333,15683.6875,3118.6572062547366,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,12565.030293745263,476.1396860354687,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
0,0,9,127.96,694.4,10.2615893844893,1,3.7,0.6964285714285714,10427.5166015625,2204.8491443842654,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,8222.667457178235,353.696803029941,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
3,0,26,181.88571428571427,642.0285714285715,7.947317515367305,1,3.0,0.6842105263157895,8283.140625,1860.7277929417417,28.274333882308138,18.84955592153876,240.0,753.9822368615504,6422.412832058259,340.71958293296353,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
6,0,56,214.0,644.5,6.843314393979375,1,3.2,0.8157894736842105,8676.2734375,2448.831515796855,32.169908772759484,20.106192982974676,256.0,804.247719318987,6227.4419217031445,309.72755145523354,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
7,0,58,216.3235294117647,725.5588235294117,9.484745991402896,1,3.0,0.6578947368421053,7760.18798828125,1951.0778214338793,28.274333882308138,18.84955592153876,240.0,753.9822368615504,5809.110166847371,308.18286600638135,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
10,0,66,231.4102564102564,623.7179487179487,7.936812739163509,1,3.7,0.75,12582.25,2948.5021876037117,43.008403427644275,23.24778563656447,296.00000000000006,929.9114254625788,9633.747812396288,414.3942121198926,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
11,0,70,235.51111111111112,564.5777777777778,8.452303449352582,1,4.2,0.7894736842105263,13804.8603515625,3585.7192173716426,55.41769440932395,26.389378290154262,336.0,1055.5751316061705,10219.141134190857,387.2444823000459,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
15,0,100,259.40845070422534,631.2957746478874,12.148174227369358,1,5.1000000000000005,0.7021276595744681,19714.2265625,5879.141210367382,81.71282491987054,32.04424506661589,408.00000000000006,1281.7698026646358,13835.085352132617,431.74945527258456,Abi2-WT/tirf/250319_Abi2-eGFP_latb_tirf_1-1_SIR.tif
